"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2023048493","1620","0","0","1","0","0","0","0","0","0","6","1","","14","5","2023","3","40.779211","-77.775142","1614","2","0","0","0","0","0","0","0","0","","0","1","0","","","1","N","0","","40 46:45.161","7","3","77 46:30.510","2","0","0","0","14210","0","0","0","N","0","0","0","2","14410","0","","1.0","1935.0","1","N","N","N","0","","0","1","1","","0","Y","","2","1","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2023049984","0736","1","0","0","0","0","0","0","0","0","7","0","","14","6","2023","2","41.02225","-77.569367","0718","2","0","0","0","0","0","0","0","0","","0","0","0","","","1","N","0","","41 01:20.099","4","0","77 34:09.722","3","0","0","0","14214","0","0","0","Y","0","0","0","1","68G07","0","","4.0","815.0","1","N","N","N","0","","1","0","0","","0","Y","","1","1","0","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
"2023049226","2100","0","0","0","0","0","0","0","0","0","98","0","","14","6","2023","7","40.809037","-77.824955","2054","2","0","0","0","0","0","1","0","0","","0","0","0","","","0","N","0","","40 48:32.534","","0","77 49:29.837","0","0","0","0","14204","0","0","0","N","0","0","0","1","14410","0","","1.0","","1","N","N","N","0","","0","0","0","","0","","","1","0","0","0","0","0","0","2","1","1","","03","","N","","","","","","","","","",""
"2023077956","1930","2","0","0","0","0","0","0","0","0","1","0","","14","9","2023","1","40.784434","-77.844596","1926","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","","2","","40 47:03.964","2","0","77 50:40.546","0","0","0","0","14410","0","0","0","N","0","0","0","3","14410","0","","1.0","1954.0","1","N","N","N","0","","0","0","0","","0","N","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2023077599","0007","0","0","0","0","0","0","0","0","0","7","0","","14","9","2023","7","40.799167","-77.847806","0006","2","0","0","0","0","1","0","0","0","","0","0","0","","","0","","2","","40 47:57.000","","0","77 50:52.100","0","0","0","0","14410","0","0","0","N","0","0","0","1","14410","0","","4.0","","1","N","N","N","0","","0","0","1","","0","","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2023078610","1401","1","0","0","0","0","0","0","0","0","7","0","","14","9","2023","3","40.801025","-77.879161","1350","2","0","0","0","0","0","1","0","0","","0","0","0","","","2","N","0","","40 48:03.691","","7","77 52:44.981","3","0","0","0","14206","0","0","0","N","0","0","0","2","14206","1","","5.0","","1","N","N","N","0","","1","0","1","","0","","","2","2","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2023088611","1420","0","0","0","0","0","0","0","0","0","98","0","","14","8","2023","3","40.895016","-78.219251","1414","2","0","0","0","0","0","0","0","0","","0","0","0","","","1","","1","","40 53:42.056","","0","78 13:09.304","4","0","0","1","14406","0","0","0","N","0","0","0","2","68C03","1","","4.0","","1","N","N","N","0","","0","0","0","","3","","","1","1","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2023078264","1944","0","0","0","0","0","0","0","0","0","7","0","","14","9","2023","1","41.001771","-77.604668","1931","2","0","0","0","0","0","1","0","0","","0","0","0","","","0","N","0","","41 00:06.377","","0","77 36:16.806","0","0","0","0","14214","0","0","0","N","0","0","0","2","68G07","0","","2.0","","1","N","N","N","0","","0","0","1","","0","","","1","0","0","0","0","0","0","1","0","1","","03","","N","","","","","","","","","",""
"2023077793","2354","0","0","0","0","0","0","0","0","0","7","0","","14","9","2023","7","40.792817","-77.845996","2346","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","","1","","40 47:34.141","","0","77 50:45.585","9","0","0","0","14410","0","0","0","N","0","0","0","4","14410","0","","4.0","","1","N","N","N","0","","0","0","1","","0","","","1","0","0","0","0","0","2","2","0","1","","03","","N","","","","","","","","","",""
"2023078545","1243","0","0","0","0","0","0","0","0","0","1","1","65","14","6","2023","2","40.994464","-77.8449","1223","2","0","0","0","0","0","1","0","0","","0","1","0","","","2","N","0","","40 59:40.072","4","0","77 50:41.641","3","0","0","0","14202","0","0","0","N","0","0","0","5","68G07","0","","1.0","1320.0","1","N","N","N","0","","2","0","1","","8","N","","2","2","0","0","0","0","0","1","0","2","","","Y","Y","8","2","N","N","N","N","N","Y","N","N"
"2023079111","0916","1","0","0","0","0","0","0","0","0","4","1","","14","9","2023","4","40.798391","-77.871148","0911","2","0","0","0","0","0","0","0","0","","0","1","0","","","0","","2","","40 47:54.209","4","0","77 52:16.131","0","0","0","0","14410","0","0","0","N","0","0","0","2","14410","0","","1.0","1016.0","1","N","N","N","0","","0","0","0","","3","N","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
